node	traffic
1245	0.0020003488
1247	0.0002883333
1248	0.0006386047
1249	0.0784339535
1250	0.00025125
1251	0.0004303571
1252	0.0004980233
1253	0.0001539286
1255	0.0003876596
1257	0.0009022093
1258	0.000657619
1259	0.0009567442
1260	0.0008706122
1262	2.06060606061E-05
1263	0.0004044186
1264	0.0005316667
1266	0.0013177778
1267	0.0003552941
1268	0.0001991667
1269	0.0009246341
1270	0.066514186
1271	0.0023634043
1273	0.0175370588
1275	0.0012975641
1277	0.000935
1279	0.0005801818
1280	0.0010685714
1281	0.0001308333
1282	0.0009339535
1283	0.0007813333
1284	0.000327931
1286	0.00060875
1289	0.000096
1290	0.0268215116
1293	0.00097
1295	0.0005062791
1296	0.0024445349
1297	0.0003184884
1298	0.0036243023
1299	0.0003871429
1300	0.0070143023
1301	0.0012556471
1302	0.0005
1303	0.000964
1305	0.0002002326
1306	0.0004044186
1307	0.0003233333
1309	0.0002132558
1310	0.0007627059
1311	0.000012
1313	0.0019366279
1314	0.1327093023
1315	0.00082
1316	0.0003806977
1317	9.70731707317E-05
1318	0.0003730233
1319	0.0004276471
1321	2.81395348837E-05
1322	0.0005156522
1324	3.46875E-05
1325	0.0006036047
1326	0.0006786667
1327	0.1515996512
1328	0.0006773913
1329	0.0000536
1330	0.000545
1332	0.00081
1333	0.00021
1334	0.0223774194
1335	0.0009208537
1336	0.0014651765
1337	0.0031751163
1338	0.0051013953
1339	0.0065397674
1340	0.0054202326
1341	0.0002381395
1343	0.0009213415
1344	0.0003806977
1345	0.0012744186
1347	0.0051013953
1350	0.0001254762
1351	0.0007623256
1352	0.00009
1353	0.000446
1355	6.92647058824E-05
1356	0.0008930508
1358	0.0366483721
1359	0.0001316667
1360	0.0003495349
1361	0.0007544872
1362	0.0472976744
1363	0.0002165385
1364	0.000737
1366	0.1007518605
1367	0.00045875
1368	0.0012273239
1369	0.0012380233
1372	0.0011296667
1373	0.0002815385
1374	0.0036138372
1375	0.0006205405
1376	0.000526
1377	0.0005879487
1378	0.0007334146
1379	0.0001811628
1381	0.0011027083
1382	0.000102
1383	0.0034540476
1385	0.0037136047
1387	0.0002736364
1388	0.0003495349
1389	0.0009157534
1393	0.0004332
1394	0.0012166154
1398	0.0004709375
1399	0.0006688679
1400	2.06060606061E-05
1401	0.0117965116
1402	0.0044759302
1403	0.0018065116
1404	0.0007165385
1407	0.0001857895
1408	0.0273893023
1409	0.0086426667
1410	0.0340215385
1412	0.0006668605
1414	0.006675
1415	0.000904717
1416	0.00053
1417	0.0005007018
1419	0.006240339
1420	0.0014883721
1421	0.0004669333
1422	0.0005878261
1423	0.0111590698
1424	0.0219994186
1426	0.0018065116
1427	0.0004677273
1428	0.0044818605
1429	0.0008144186
1430	0.0011426744
1431	0.0004050943
1432	0.0254944186
1433	0.0002174419
1434	0.0005074419
1437	0.000205
1438	0.0003806977
1439	0.0005388889
1440	0.0012744186
1441	0.0009152632
1443	0.0002726667
1444	0.0003551724
1445	0.004317093
1446	0.0004559091
1447	0.00028
1448	0.0254944186
1450	0.0123867442
1452	0.0084590698
1454	0.027557093
1456	0.0013818605
1457	0.0006386047
1458	0.0001833333
1459	0.0675939535
1460	0.0023376744
1461	0.0062869767
1462	0.0013509333
1464	0.0008398837
1466	0.1056382558
1467	0.0045272727
1468	0.001378
1469	0.0002425
1470	0.0148781395
1471	0.0010169412
1473	0.0003575
1474	0.0003702899
1475	0.0049772093
1476	0.0010582192
1478	0.0003495349
1479	0.0003854545
1480	0.0004966667
1482	0.0009180488
1483	0.0004762791
1484	0.00095875
1485	0.0004470238
1486	0.2444227907
1488	0.0180832558
1489	0.0008935849
1490	0.0056986207
1491	0.0014606977
1492	0.0002107407
1494	0.0009206098
1496	0.0008426087
1499	0.0019366279
1501	0.000215814
1502	0.0052422093
1505	0.0057394186
1506	0.000444186
1509	0.0006036047
1512	0.0001695238
1513	5.26470588235E-05
1514	0.0043572093
1515	0.0003806977
1517	0.000173125
1518	0.0009486585
1519	0.0010741772
1521	0.0034
1522	0.0007977778
1523	0.0003495349
1525	2.4347826087E-05
1526	0.0003050943
1527	0.0001883333
1528	0.0013961628
1529	0.0019366279
1531	9.73913043478E-05
1532	0.0003889474
1533	0.0003095238
1535	0.0012538462
1536	7.76811594203E-05
1539	0.00018875
1541	0.0021331395
1542	0.0013192405
1544	0.0002702222
1546	0.0015936047
1547	0.0006436905
1548	0.0004503571
1549	0.000178
1551	0.0261622093
1552	0.0067613953
1553	0.0008716279
1554	0.000208
1556	0.000265
1557	0.0002846667
1558	0.001592907
1559	0.0031884884
1560	0.000515
1561	0.0089204651
1562	0.0003193976
1563	0.0059365116
1564	0.0003173256
1565	0.0022561538
1566	0.0009397561
1567	0.2407360465
1570	0.0178654651
1572	0.0065915116
1573	0.0004372727
1574	0.001242
1575	0.0008090698
1576	0.0012942857
1577	0.0014883721
1578	0.0010277907
1580	0.0003018182
1582	0.0071901163
1583	0.1689002326
1585	0.0015240698
1586	0.0011743023
1587	0.0031438462
1588	0.0012556471
1589	0.0017833333
1591	0.0137530588
1592	0.0003361111
1593	0.0013356471
1594	3.58695652174E-05
1596	0.0011336667
1598	0.0005481395
1599	0.0004126744
1601	0.0003938554
1602	0.0021319718
1604	0.0016195349
1606	0.006164186
1607	0.00008375
1608	0.0005766265
1609	0.0034284884
1610	0.0011690698
1611	0.1377568605
1612	0.0417848837
1613	0.099537907
1614	0.0003882353
1615	0.0031884884
1616	0.0015178049
1617	0.00029375
1619	0.0010514286
1620	0.0005096512
1621	0.0015783721
1622	5.59302325581E-05
1623	3.42352941176E-05
1624	0.0019587209
1625	0.067092907
1626	0.0003619767
1628	0.0010195349
1629	0.000609625
1630	0.0003101786
1631	0.0006
1634	0.0339480233
1637	0.431037093
1640	0.0012954839
1641	0.0006669767
1644	0.0004524419
1645	0.009395
1646	0.0005096512
1647	0.00082
